pos,titel,artiest,jaar,Datum,datum2
2000,Politik,Coldplay,2002,25-12-16 9:19,41267
1999,Moves Like Jagger,Maroon 5 & Christina Aguilera,2011,25-12-16 9:22,41267
1998,Heartbreak Hotel,Elvis Presley,1956,25-12-16 9:24,41267
1997,Modern World,Anouk,2008,25-12-16 9:28,41267
1996,I Can't Tell You Why,Eagles,1979,25-12-16 9:33,41267
1995,Duel (Eye To Eye),Propaganda,1985,25-12-16 9:37,41267
1994,I Love You Like I Love Myself,Herman Brood & His Wild Romance,1980,25-12-16 9:41,41267
1993,Tin Soldier,Small Faces,1968,25-12-16 9:44,41267
1992,Naïve,The Kooks,2006,25-12-16 9:48,41267
1991,After The Love Has Gone,Earth Wind & Fire,1979,25-12-16 9:52,41267
1990,Torn,Natalie Imbruglia,1997,25-12-16 9:56,41267
1989,Strange Fruit,Billie Holiday,1939,25-12-16 9:59,41267
1988,Common People,Pulp,1995,25-12-16 10:15,41267
1987,Daydream Believer,The Monkees,1967,25-12-16 10:18,41267
1986,Babylon,David Gray,2000,25-12-16 10:21,41267
1985,See Emily Play,Pink Floyd,1967,25-12-16 10:24,41267
1984,Luka,Suzanne Vega,1987,25-12-16 10:28,41267
1983,Ann,Q65,1966,25-12-16 10:31,41267
1982,Can't Feel My Face,The Weeknd,2015,25-12-16 10:34,41267
1981,Atlantis,Donovan,1969,25-12-16 10:39,41267
1980,Homburg,Procol Harum,1967,25-12-16 10:43,41267
1979,Als De Morgen Is Gekomen,Jan Smit,2006,25-12-16 10:46,41267
1978,I Predict A Riot,Kaiser Chiefs,2005,25-12-16 10:50,41267
1977,This Is The Last Time,Keane,2005,25-12-16 10:53,41267
1976,The Sun Ain't Gonna Shine Anymore,The Walker Brothers,1966,25-12-16 10:56,41267
1975,Crazy Horses,The Osmonds,1972,25-12-16 10:59,41267
1974,Heart Of Glass,Blondie,1979,25-12-16 11:12,41267
1973,All I Wanna Do Is Make Love To You,Heart,1990,25-12-16 11:18,41267
1972,Dichterbij Dan Ooit,Bløf,2001,25-12-16 11:22,41267
1971,Can't Buy Me Love,The Beatles,1964,25-12-16 11:24,41267
1970,Hou Me Vast,Volumia!,1998,25-12-16 11:28,41267
1969,I Want To Hold Your Hand,The Beatles,1964,25-12-16 11:30,41267
1968,Helpless,"Crosby, Stills, Nash & Young",1970,25-12-16 11:34,41267
1967,And I Love Her,The Beatles,1964,25-12-16 11:36,41267
1966,These Boots Are Made For Walking,Nancy Sinatra,1966,25-12-16 11:39,41267
1965,Slow Song,Joe Jackson,1982,25-12-16 11:46,41267
1964,Just The Way You Are,Billy Joel,1978,25-12-16 11:49,41267
1963,You've Lost That Loving Feeling,The Righteous Brothers,1965,25-12-16 11:53,41267
1962,You're The Inspiration,Chicago,1985,25-12-16 11:57,41267
1961,Never Alone,2 Brothers On The 4th Floor,1993,25-12-16 12:14,41267
1960,Magic Man,Heart,1976,25-12-16 12:20,41267
1959,It Ain't Over Till It's Over,Lenny Kravitz,1991,25-12-16 12:24,41267
1958,Atmosphere,Joy Division,1980,25-12-16 12:28,41267
1957,Crystal Ship,The Doors,1967,25-12-16 12:31,41267
1956,Fight For Your Right (To Party),Beastie Boys,1987,25-12-16 12:34,41267
1955,Original Sin,INXS,1984,25-12-16 12:38,41267
1954,Mysterious Ways,U2,1991,25-12-16 12:42,41267
1953,Lady Madonna,The Beatles,1968,25-12-16 12:44,41267
1952,Ventura Highway,America,1972,25-12-16 12:48,41267
1951,For The First Time,The Script,2010,25-12-16 12:52,41267
1950,Every Kinda People,Robert Palmer,1978,25-12-16 12:55,41267
1949,The Fear,Ben Howard,2012,25-12-16 12:58,41267
1948,'n Vriend,André Hazes,1980,25-12-16 13:14,41267
1947,Lovesong,The Cure,1989,25-12-16 13:17,41267
1946,Ocean Of Night,Editors,2015,25-12-16 13:20,41267
1945,Making Plans For Nigel,XTC,1979,25-12-16 13:24,41267
1944,Daniel,Elton John,1973,25-12-16 13:28,41267
1943,Sacrifice,Anouk,1998,25-12-16 13:32,41267
1942,Atlas,Coldplay,2013,25-12-16 13:36,41267
1941,I'm Not The Only One,Sam Smith,2014,25-12-16 13:40,41267
1940,Turn Turn Turn,The Byrds,1965,25-12-16 13:43,41267
1939,Rikki Don't Lose That Number,Steely Dan,1974,25-12-16 13:47,41267
1938,Killer,Adamski,1990,25-12-16 13:51,41267
1937,Faded,Alan Walker,2016,25-12-16 13:55,41267
1936,To Love Somebody,Bee Gees,1967,25-12-16 13:58,41267
1935,I Don't Want To Talk About It,Rod Stewart,1977,25-12-16 14:15,41267
1934,Green Onions,Booker T & The MG's,1962,25-12-16 14:18,41267
1933,Davy's On The Road Again,Manfred Mann's Earth Band,1978,25-12-16 14:21,41267
1932,Fools Gold,Stone Roses,1990,25-12-16 14:26,41267
1931,Back It Up,Caro Emerald,2009,25-12-16 14:29,41267
1930,I Got You Babe,UB40 & Chrissie Hynde,1985,25-12-16 14:33,41267
1929,Water Of Love,Dire Straits,1978,25-12-16 14:38,41267
1928,Je Veux De L'amour,Raymond van het Groenewoud,1980,25-12-16 14:43,41267
1927,Hoe,Nielson & Miss Montreal,2013,25-12-16 14:45,41267
1926,J'me Tire,Maitre Gims,2013,25-12-16 14:49,41267
1925,"Sitting, Waiting, Wishing",Jack Johnson,2005,25-12-16 14:52,41267
1924,I'm Every Woman,Chaka Khan,1979,25-12-16 14:57,41267
1923,Geloven In Het Leven,3JS,2010,25-12-16 15:14,41267
1922,Try (just A Little Bit Harder),Janis Joplin,1967,25-12-16 15:18,41267
1921,Southern Man,Neil Young,1970,25-12-16 15:23,41267
1920,Legs,ZZ Top,1985,25-12-16 15:28,41267
1919,Euphoria,Loreen,2012,25-12-16 15:31,41267
1918,Woman,John Lennon,1981,25-12-16 15:34,41267
1917,Suicide Blonde,INXS,1990,25-12-16 15:38,41267
1916,The 5th,Ekseption,1969,25-12-16 15:41,41267
1915,Reelin' In The Years,Steely Dan,1973,25-12-16 15:46,41267
1914,Go West,Pet Shop Boys,1993,25-12-16 15:50,41267
1913,Beautiful People,Marilyn Manson,1996,25-12-16 15:54,41267
1912,All Apologies,Nirvana,1993,25-12-16 15:58,41267
1911,You Make Lovin' Fun,Fleetwood Mac,1978,25-12-16 16:14,41267
1910,Walk This Way,Run-D.M.C.,1986,25-12-16 16:17,41267
1909,Master Blaster (Jammin'),Stevie Wonder,1980,25-12-16 16:22,41267
1908,Peggy Sue,Buddy Holly,1957,25-12-16 16:25,41267
1907,Dead Flowers,The Rolling Stones,1971,25-12-16 16:29,41267
1906,Sausolito Summernight,Diesel,1980,25-12-16 16:32,41267
1905,Passie,Clouseau,1995,25-12-16 16:37,41267
1904,Play That Funky Music,Wild Cherry,1976,25-12-16 16:40,41267
1903,Memory Motel,The Rolling Stones,1976,25-12-16 16:47,41267
1902,Rendezvous 6:02,UK,1979,25-12-16 16:52,41267
1901,Who Are You,The Who,1978,25-12-16 16:55,41267
1900,Summer In The City,Joe Cocker,1994,25-12-16 16:59,41267
1899,The Sweetest Taboo,Sade,1985,25-12-16 17:14,41267
1898,Fantastig Toch,Eva De Roovere,2007,25-12-16 17:17,41267
1897,As,Stevie Wonder,1976,25-12-16 17:24,41267
1896,Elevation,U2,2001,25-12-16 17:27,41267
1895,I Want You Back,Jackson 5,1970,25-12-16 17:30,41267
1894,Transmission,Joy Division,1979,25-12-16 17:34,41267
1893,Winter In Hamburg,Frank Boeijen Groep,1987,25-12-16 17:39,41267
1892,What's A Woman,Vaya Con Dios,1990,25-12-16 17:43,41267
1891,This Melody,Julien Clerc,1976,25-12-16 17:47,41267
1890,All Star,Smash Mouth,1999,25-12-16 17:50,41267
1889,Voir Un Ami Pleurer,Jacques Brel,1961,25-12-16 17:54,41267
1888,Sunrise,Simply Red,2003,25-12-16 17:58,41267
1887,Poker Face,Lady Gaga,2009,25-12-16 18:15,41267
1886,Met Hart En Ziel,Tröckener Kecks,1990,25-12-16 18:18,41267
1885,"Oh, Pretty Woman",Roy Orbison,1964,25-12-16 18:21,41267
1884,Meeting Across The River,Bruce Springsteen,1975,25-12-16 18:25,41267
1883,Laat Het Los,Van Dik Hout,1996,25-12-16 18:29,41267
1882,Crying,Aerosmith,1993,25-12-16 18:35,41267
1881,Het Is Koud Zonder Jou,André Hazes,1980,25-12-16 18:39,41267
1880,Ik Wil Niet Dat Je Liegt,Paul de Leeuw,1993,25-12-16 18:42,41267
1879,Fox On The Run,The Sweet,1975,25-12-16 18:46,41267
1878,Crazy,Icehouse,1987,25-12-16 18:51,41267
1877,Dance The Night Away,The Mavericks,1998,25-12-16 18:55,41267
1876,It's  A Beautiful Day,Michael Bublé,2013,25-12-16 18:58,41267
1875,Blue Jean,David Bowie,1984,25-12-16 19:13,41267
1874,Here There And Everywhere,The Beatles,1966,25-12-16 19:16,41267
1873,Late Again,Stealers Wheel,1973,25-12-16 19:19,41267
1872,A Real Mother For Ya,Johnny Guitar Watson,1977,25-12-16 19:24,41267
1871,Sky On Fire,Handsome Poets,2012,25-12-16 19:27,41267
1870,That Was Yesterday,Foreigner,1985,25-12-16 19:31,41267
1869,Sadeness Part 1,Enigma,1990,25-12-16 19:35,41267
1868,Up Where We Belong,Joe Cocker & Jennifer Warnes,1982,25-12-16 19:39,41267
1867,Set The Fire To The Third Bar,Snow Patrol Feat. Martha Wainright,2006,25-12-16 19:42,41267
